BLOCK,Organism,FU per gWeight,LOG_CFU per gWeight,Year,,,,,,,,,,,,,,,,,,,,,
1,RU47,44731.61034,4.650614533,22,,,,,,,,,,,,,,,,,,,,,
2,RU47,100000,5,22,,,,,,,,,,,,,,,,,,,,,
3,RU47,53892.21557,4.731526038,22,,,,,,,,,,,,,,,,,,,,,
4,RU47,27833.00199,4.444560051,22,,,,,,,,,,,,,,,,,,,,,
1,ABi03,103379.7217,5.014435359,22,,,,,,,,,,,,,,,,,,,,,
2,ABi03,128000,5.10720997,22,,,,,,,,,,,,,,,,,,,,,
3,ABi03,157684.6307,5.197789365,22,,,,,,,,,,,,,,,,,,,,,
4,ABi03,119284.2942,5.076583265,22,,,,,,,,,,,,,,,,,,,,,
1,OMG16,36717.06263,4.56486793,22,,,,,,,,,,,,,,,,,,,,,
2,OMG16,5400.010789,3.732394628,22,,,,,,,,,,,,,,,,,,,,,
3,OMG16,19583.06189,4.291880596,22,,,,,,,,,,,,,,,,,,,,,
4,OMG16,28289.13043,4.451619598,22,,,,,,,,,,,,,,,,,,,,,
1,ABi03,,5.944296112,21,,,,,,,,,,,,,,,,,,,,,
2,ABi03,,5.925243089,21,,,,,,,,,,,,,,,,,,,,,
3,ABi03,,5.869921624,21,,,,,,,,,,,,,,,,,,,,,
4,ABi03,,5.707232037,21,,,,,,,,,,,,,,,,,,,,,
1,RU47,,5.26848077,21,,,,,,,,,,,,,,,,,,,,,
2,RU47,,4.950326394,21,,,,,,,,,,,,,,,,,,,,,
3,RU47,,5.232078139,21,,,,,,,,,,,,,,,,,,,,,
4,RU47,,5.385775759,21,,,,,,,,,,,,,,,,,,,,,
1,OMG16,,5.978143903,21,,,,,,,,,,,,,,,,,,,,,
2,OMG16,,6.147423368,21,,,,,,,,,,,,,,,,,,,,,
3,OMG16,,5.761452112,21,,,,,,,,,,,,,,,,,,,,,
4,OMG16,,6.07045523,21,,,,,,,,,,,,,,,,,,,,,
1,ABi03,,7.7,20,,,,,,,,,,,,,,,,,,,,,
2,ABi03,,7.6,20,,,,,,,,,,,,,,,,,,,,,
3,ABi03,,7.6,20,,,,,,,,,,,,,,,,,,,,,
4,ABi03,,7.5,20,,,,,,,,,,,,,,,,,,,,,
1,RU47,,5.8,20,,,,,,,,,,,,,,,,,,,,,
2,RU47,,5.9,20,,,,,,,,,,,,,,,,,,,,,
3,RU47,,6.0,20,,,,,,,,,,,,,,,,,,,,,
4,RU47,,6.1,20,,,,,,,,,,,,,,,,,,,,,
1,OMG16,,3.8,20,,,,,,,,,,,,,,,,,,,,,
2,OMG16,,3.7,20,,,,,,,,,,,,,,,,,,,,,
3,OMG16,,3.6,20,,,,,,,,,,,,,,,,,,,,,
4,OMG16,,3.9,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
