"","x"
"FS.CT.Ext.C1.2020.trimmed",592.251909310053
"FS.CT.Ext.C2.2020.trimmed",562.018659891607
"FS.CT.Ext.C3.2020.trimmed",495.51359255157
"FS.CT.Ext.C4.2020.trimmed",278.708158455582
"FS.CT.Ext.I1.2020.trimmed",508.972485262595
"FS.CT.Ext.I2.2020.trimmed",508.91027961396
"FS.CT.Ext.I3.2020.trimmed",542.400172726409
"FS.CT.Ext.I4.2020.trimmed",447.966666710658
"FSCTExt.T0.1.2020.trimmed",477.353499010226
"FSCTExt.T0.2.2020.trimmed",439.304717799278
"FSCTExt.T0.3.2020.trimmed",367.690740592926
"FSCTExt.T0.4.2020.trimmed",400.736376354225
"RH.CT.Ext.C1.2020.trimmed",349.35851590239
"RH.CT.Ext.C2.2020.trimmed",343.206511962866
"RH.CT.Ext.C3.2020.trimmed",329.92519763563
"RH.CT.Ext.C4.2020.trimmed",373.335471892661
"RH.CT.Ext.I1.2020.trimmed",367.313017324632
"RH.CT.Ext.I2.2020.trimmed",385.695444476652
"RH.CT.Ext.I3.2020.trimmed",378.55062543214
"RH.CT.Ext.I4.2020.trimmed",406.255168145621
"CT.Ext.T0.1.2021.trimmed",242.502566919808
"CT.Ext.T0.2.2021.trimmed",318.849770210393
"CT.Ext.T0.3.2021.trimmed",296.528208752751
"CT.Ext.T0.4.2021.trimmed",359.036332147455
"FS.CT.Ext.C1.2021.trimmed",599.479843377015
"FS.CT.Ext.C2.2021.trimmed",569.324673769615
"FS.CT.Ext.C3.2021.trimmed",502.766452718446
"FS.CT.Ext.C4.2021.trimmed",282.736910092179
"FS.CT.Ext.I1.2021.trimmed",515.217527242704
"FS.CT.Ext.I2.2021.trimmed",517.089141677509
"FS.CT.Ext.I3.2021.trimmed",549.91582344321
"FS.CT.Ext.I4.2021.trimmed",449.461708235084
"RHCTExtC1.2021.trimmed",415.587522682835
"RHCTExtC2.2021.trimmed",413.838118268546
"RHCTExtC3.2021.trimmed",374.028295271863
"RHCTExtC4.2021.trimmed",408.402563501419
"RHCTExtI1.2021.trimmed",389.848598322175
"RHCTExtI2.2021.trimmed",426.380900622375
"RHCTExtI3.2021.trimmed",420.032358625986
"RHCTExtI4.2021.trimmed",389.374340001076
"FSCTExtC1FS1.2022.trimmed",479.972237145432
"FSCTExtC2FS2.2022.trimmed",494.637134083283
"FSCTExtC3FS3.2022.trimmed",501.94010056612
"FSCTExtC4FS4.2022.trimmed",468.668871204645
"FSCTExtI1FS1.2022.trimmed",530.17417451368
"FSCTExtI2FS2.2022.trimmed",492.609740405103
"FSCTExtI3FS3.2022.trimmed",303.939358270373
"FSCTExtI4FS4.2022.trimmed",516.291999393813
"RHCTExtC1RH1.2022.trimmed",563.267352465689
"RHCTExtC2RH2.2022.trimmed",539.717203055581
"RHCTExtC3RH3.2022.trimmed",671.722178452991
"RHCTExtC4RH4.2022.trimmed",562.736836554061
"RHCTExtI1RH1.2022.trimmed",573.651716547937
"RHCTExtI2RH2.2022.trimmed",495.396047573734
"RHCTExtI3RH3.2022.trimmed",531.269827938709
"RHCTExtI4RH4.2022.trimmed",608.263389913566
"T0CTExt1FS1.2022.trimmed",576.704995083116
"T0CTExt2FS2.2022.trimmed",579.669554923134
"T0CTExt3FS3.2022.trimmed",569.824027640122
"T0CTExt4FS4.2022.trimmed",586.774406110333
