,Sample,Year,ID,Time_point,Soil_Type,Tillage,Int,BMc,Block,Root_Window,,DW
1,FS.CT.Ext.C1,20,FS.CT.Ext.C1..2020.trimmed,FS.CT.Ext.C1,FS,CT,Extensive,Ctrl,1,Normal-Sample,,
2,FS.CT.Ext.C2,20,FS.CT.Ext.C2..2020.trimmed,FS.CT.Ext.C2,FS,CT,Extensive,Ctrl,2,Normal-Sample,,
3,FS.CT.Ext.C3,20,FS.CT.Ext.C3..2020.trimmed,FS.CT.Ext.C3,FS,CT,Extensive,Ctrl,3,Normal-Sample,,
4,FS.CT.Ext.C4,20,FS.CT.Ext.C4..2020.trimmed,FS.CT.Ext.C4,FS,CT,Extensive,Ctrl,4,Normal-Sample,,
5,FS.CT.Ext.I1,20,FS.CT.Ext.I1..2020.trimmed,FS.CT.Ext.I1,FS,CT,Extensive,BMc,1,Normal-Sample,,
6,FS.CT.Ext.I2,20,FS.CT.Ext.I2..2020.trimmed,FS.CT.Ext.I2,FS,CT,Extensive,BMc,2,Normal-Sample,,
7,FS.CT.Ext.I3,20,FS.CT.Ext.I3..2020.trimmed,FS.CT.Ext.I3,FS,CT,Extensive,BMc,3,Normal-Sample,,
8,FS.CT.Ext.I4,20,FS.CT.Ext.I4..2020.trimmed,FS.CT.Ext.I4,FS,CT,Extensive,BMc,4,Normal-Sample,,
9,FSCTExt.T0.1,20,FSCTExt.T0.1..2020.trimmed,T0,T0,CT,Extensive,Ctrl,1,Normal-Sample,,
10,FSCTExt.T0.2,20,FSCTExt.T0.2..2020.trimmed,T0,T0,CT,Extensive,Ctrl,2,Normal-Sample,,
11,FSCTExt.T0.3,20,FSCTExt.T0.3..2020.trimmed,T0,T0,CT,Extensive,Ctrl,3,Normal-Sample,,
12,FSCTExt.T0.4,20,FSCTExt.T0.4..2020.trimmed,T0,T0,CT,Extensive,Ctrl,4,Normal-Sample,,
13,RH.CT.Ext.C1,20,RH.CT.Ext.C1..2020.trimmed,RH.CT.Ext.C1,RH,CT,Extensive,Ctrl,1,Normal-Sample,,338.7
14,RH.CT.Ext.C2,20,RH.CT.Ext.C2..2020.trimmed,RH.CT.Ext.C2,RH,CT,Extensive,Ctrl,2,Normal-Sample,,305.1
15,RH.CT.Ext.C3,20,RH.CT.Ext.C3..2020.trimmed,RH.CT.Ext.C3,RH,CT,Extensive,Ctrl,3,Normal-Sample,,314.4
16,RH.CT.Ext.C4,20,RH.CT.Ext.C4..2020.trimmed,RH.CT.Ext.C4,RH,CT,Extensive,Ctrl,4,Normal-Sample,,278.1
17,RH.CT.Ext.I1,20,RH.CT.Ext.I1..2020.trimmed,RH.CT.Ext.I1,RH,CT,Extensive,BMc,1,Normal-Sample,,432.7
18,RH.CT.Ext.I2,20,RH.CT.Ext.I2..2020.trimmed,RH.CT.Ext.I2,RH,CT,Extensive,BMc,2,Normal-Sample,,433.1
19,RH.CT.Ext.I3,20,RH.CT.Ext.I3..2020.trimmed,RH.CT.Ext.I3,RH,CT,Extensive,BMc,3,Normal-Sample,,423.8
20,RH.CT.Ext.I4,20,RH.CT.Ext.I4..2020.trimmed,RH.CT.Ext.I4,RH,CT,Extensive,BMc,4,Normal-Sample,,420.1
21,CT.Ext.T0.1,21,CT.Ext.T0.1..2021.trimmed,T0,T0,CT,Extensive,Ctrl,1,Normal-Sample,,
22,CT.Ext.T0.2,21,CT.Ext.T0.2..2021.trimmed,T0,T0,CT,Extensive,Ctrl,2,Normal-Sample,,
23,CT.Ext.T0.3,21,CT.Ext.T0.3..2021.trimmed,T0,T0,CT,Extensive,Ctrl,3,Normal-Sample,,
24,CT.Ext.T0.4,21,CT.Ext.T0.4..2021.trimmed,T0,T0,CT,Extensive,Ctrl,4,Normal-Sample,,
25,FSCTExtC1,21,FSCTExtC1..2021.trimmed,FSCTExtC1,FS,CT,Extensive,Ctrl,1,Normal-Sample,,
26,FSCTExtC2,21,FSCTExtC2..2021.trimmed,FSCTExtC2,FS,CT,Extensive,Ctrl,2,Normal-Sample,,
27,FSCTExtC3,21,FSCTExtC3..2021.trimmed,FSCTExtC3,FS,CT,Extensive,Ctrl,3,Normal-Sample,,
