Sample,Soil_Type,BM,Year,Block
FS.CT.Ext.C1.2020.trimmed,RAS,Control,20,1
FS.CT.Ext.C2.2020.trimmed,RAS,Control,20,2
FS.CT.Ext.C3.2020.trimmed,RAS,Control,20,3
FS.CT.Ext.C4.2020.trimmed,RAS,Control,20,4
FS.CT.Ext.I1.2020.trimmed,RAS,BMc,20,1
FS.CT.Ext.I2.2020.trimmed,RAS,BMc,20,2
FS.CT.Ext.I3.2020.trimmed,RAS,BMc,20,3
FS.CT.Ext.I4.2020.trimmed,RAS,BMc,20,4
FSCTExt.T0.1.2020.trimmed,T0,,20,1
FSCTExt.T0.2.2020.trimmed,T0,,20,2
FSCTExt.T0.3.2020.trimmed,T0,,20,3
FSCTExt.T0.4.2020.trimmed,T0,,20,4
RH.CT.Ext.C1.2020.trimmed,RH,Control,20,1
RH.CT.Ext.C2.2020.trimmed,RH,Control,20,2
RH.CT.Ext.C3.2020.trimmed,RH,Control,20,3
RH.CT.Ext.C4.2020.trimmed,RH,Control,20,4
RH.CT.Ext.I1.2020.trimmed,RH,BMc,20,1
RH.CT.Ext.I2.2020.trimmed,RH,BMc,20,2
RH.CT.Ext.I3.2020.trimmed,RH,BMc,20,3
RH.CT.Ext.I4.2020.trimmed,RH,BMc,20,4
CT.Ext.T0.1.2021.trimmed,T0,,21,1
CT.Ext.T0.2.2021.trimmed,T0,,21,2
CT.Ext.T0.3.2021.trimmed,T0,,21,3
CT.Ext.T0.4.2021.trimmed,T0,,21,4
FS.CT.Ext.C1.2021.trimmed,RAS,Control,21,1
FS.CT.Ext.C2.2021.trimmed,RAS,Control,21,2
FS.CT.Ext.C3.2021.trimmed,RAS,Control,21,3
FS.CT.Ext.C4.2021.trimmed,RAS,Control,21,4
FS.CT.Ext.I1.2021.trimmed,RAS,BMc,21,1
FS.CT.Ext.I2.2021.trimmed,RAS,BMc,21,2
FS.CT.Ext.I3.2021.trimmed,RAS,BMc,21,3
FS.CT.Ext.I4.2021.trimmed,RAS,BMc,21,4
RHCTExtC1.2021.trimmed,RH,Control,21,1
RHCTExtC2.2021.trimmed,RH,Control,21,2
RHCTExtC3.2021.trimmed,RH,Control,21,3
RHCTExtC4.2021.trimmed,RH,Control,21,4
RHCTExtI1.2021.trimmed,RH,BMc,21,1
RHCTExtI2.2021.trimmed,RH,BMc,21,2
RHCTExtI3.2021.trimmed,RH,BMc,21,3
RHCTExtI4.2021.trimmed,RH,BMc,21,4
FSCTExtC1FS1.2022.trimmed,RAS,Control,22,1
FSCTExtC2FS2.2022.trimmed,RAS,Control,22,2
FSCTExtC3FS3.2022.trimmed,RAS,Control,22,3
FSCTExtC4FS4.2022.trimmed,RAS,Control,22,4
FSCTExtI1FS1.2022.trimmed,RAS,BMc,22,1
FSCTExtI2FS2.2022.trimmed,RAS,BMc,22,2
FSCTExtI3FS3.2022.trimmed,RAS,BMc,22,3
FSCTExtI4FS4.2022.trimmed,RAS,BMc,22,4
RHCTExtC1RH1.2022.trimmed,RH,Control,22,1
RHCTExtC2RH2.2022.trimmed,RH,Control,22,2
RHCTExtC3RH3.2022.trimmed,RH,Control,22,3
RHCTExtC4RH4.2022.trimmed,RH,Control,22,4
RHCTExtI1RH1.2022.trimmed,RH,BMc,22,1
RHCTExtI2RH2.2022.trimmed,RH,BMc,22,2
RHCTExtI3RH3.2022.trimmed,RH,BMc,22,3
RHCTExtI4RH4.2022.trimmed,RH,BMc,22,4
T0CTExt1FS1.2022.trimmed,T0,,22,1
T0CTExt2FS2.2022.trimmed,T0,,22,2
T0CTExt3FS3.2022.trimmed,T0,,22,3
T0CTExt4FS4.2022.trimmed,T0,,22,4
