Year	Treatment	ABi03	RU47	OMG16
22	Control	0	0	0
22	Control	0	0	0
22	Control	0	0	0
22	Control	0	0	0
22	BMc	5.014435359	4.650614533	4.56486793
22	BMc	5.10720997	5	3.732394628
22	BMc	5.197789365	4.731526038	4.291880596
22	BMc	5.076583265	4.444560051	4.451619598
21	Control	0	0	0
21	Control	0	0	0
21	Control	0	0	0
21	Control	0	0	0
21	BMc	5.944296112	5.26848077	5.978143903
21	BMc	5.925243089	4.950326394	6.147423368
21	BMc	5.869921624	5.232078139	5.761452112
21	BMc	5.707232037	5.385775759	6.07045523
20	Control	0	0	0
20	Control	0	0	0
20	Control	0	0	0
20	Control	0	0	0
20	BMc	7.7	5.8	3.8
20	BMc	7.6	5.9	3.7
20	BMc	7.6	6	3.6
20	BMc	7.5	6.1	3.9
