"Factor","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Subject","Type","Pfams"
"ABC_SP_S|ydcS",229.794195080598,0.398721730299763,0.0956445294430728,4.16878762038429,3.06224159472694e-05,0.00812055533206245,"PGPT0007855","PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_SIGNAL-BRANCHING_INHIBITION;PLANT_DEBRANCHING-SPERMIDINE|PUTRESCINE_METABOLISM;PLANT_DEBRANCHING-SPERMIDINE|PUTRESCINE_TRANSPORT#PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_SIGNAL-EMBRYOGENESIS;PLANT_EMBRYOGENESIS-SPERMIDINE|PUTRESCINE_METABOLISM;PLANT_EMBRYOGENESIS-SPERMIDINE|PUTRESCINE_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;BACTERICIDAL_COMPOUNDS|ANTIBIOTICS;BACTERICIDAL-SPERMIDINE|PUTRESCINE_METABOLISM#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NITROSATIVE|OXIDATIVE_STRESS|ROS_SCAVENGING;OXIDATIVE_STRESS-SPERMIDINE|PUTRESCINE_METABOLISM#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-SPERMIDINE|PUTRESCINE_METABOLISM#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_ACIDIC_STRESS;ACIDIC_STRESS-SPERMIDINE|PUTRESCINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-QUORUM_SENSING_RESPONSE|BIOFILM_FORMATION;CE-QSR-AUTOINDUCER_PERCEPTION;CE-QSR-GABA_PERCIPITATION|SIGNALLING#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-QUORUM_SENSING_RESPONSE|BIOFILM_FORMATION;CE-ENVIRONMENTAL_QSR|BF_SIGNALLING;CE-QSR|BF-OXIDATIVE_STRESS_SIGNALLING#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-QUORUM_SENSING_RESPONSE|BIOFILM_FORMATION;CE-ENVIRONMENTAL_QSR|BF_SIGNALLING;CE-QSR|BF-ACIDIC_STRESS_SIGNALLING","PF00656;PF01547;PF13531;PF13343;PF13416"
"acpP",481.378992075325,0.305941539608342,0.0685832282316742,4.46087983165317,8.16238521440126e-06,0.0040417139588112,"PGPT0011375","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;BACTERICIDAL_COMPOUNDS|ANTIBIOTICS;BACTERICIDAL-AURACHIN_METABOLISM#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NITROSATIVE|OXIDATIVE_STRESS|ROS_SCAVENGING;OXIDATIVE_STRESS-ARYLPOLYENE_BIOSYNTHESIS","PF00550"
"argG",1101.02798230286,0.190031833375815,0.051559848514345,3.68565538595297,0.000228114851198174,0.0369546058941041,"PGPT0020130","PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_UTILIZATION;PLANT_DERIVED_ASPARTATE_DEGRADATION","PF00764"
"atpD",1537.52573198131,0.162993233640296,0.0392079392655145,4.15714869727053,3.22244259208827e-05,0.00812055533206245,"PGPT0014296","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-HALOTOLERANCE_RELATED_ENZYMES","PF00006;PF00306;PF02874;PF06745"
"chvI",478.616495204907,0.241487512436361,0.0675099617221415,3.57706486977846,0.000347473965533026,0.0437817196571612,"PGPT0014455","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_ACIDIC_STRESS;ACIDIC_STRESS-LOW_ACID_SIGNALLUING","PF00211;PF00072"
"clpX",1940.03511367195,0.162495036229176,0.0369095562641426,4.40251936561584,1.07001035570558e-05,0.00404463914456708,"PGPT0014600","PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;HIGH_TEMPERATURE_TOLERANCE;HEAT_SHOCK_PRTOEINS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;UNIVERSAL_STRESS_RESPONSE;STRESS_SIGNALLING_PROTEINS;STRESS_SIGNAL-CHAPERONE|PROTEASES","PF00004;PF07724;PF13401;PF00493"
"ctrA",487.245214170757,0.239572929217895,0.0664397530326716,3.60586724487199,0.000311112164880721,0.0415060229382044,"PGPT0015600","PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-MOTILITY|CHEMOTAXIS;MOTILITY-FLAGELLUM_CONTROL;MOTILITY-FLAGELLUM_REGULATION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-MOTILITY|CHEMOTAXIS;CHEMOTAXIS_PROTEINS;CHEMOTAXIS_RELATED_PROTEINS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-MOTILITY|CHEMOTAXIS;MOTILITY-PILUS|FIMBRIAE_SYSTEM;MOTILITY-PILUS_SYSTEM","PF00486"
"dcd",438.231483501884,0.279990998740284,0.0798336641298058,3.50717960640052,0.00045288336049493,0.0489114029334524,"PGPT0021225","PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PYRIMIDINE_METABOLISM","PF06559"
"dppC1",8.65497108906629,-2.36578506601476,0.655058053375686,-3.61156549991752,0.000304354190079044,0.0415060229382044,"PGPT0004535","PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;HEAVY_METAL_DETOXIFICATION;HEAVY_METAL_NICKEL_RESISTANCE;NICKEL_RESISTANCE-NICKEL_TRANSPORT#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_DEPENDENT_PATHWAYS;PLANT_DERIVED_PEPTIDE_METABOLISM","PF00528;PF12911"
"elf18|tuf|tufA",2776.61903902387,0.156659664919894,0.0361625881365174,4.33209217018671,1.47699081866579e-05,0.00478545025247717,"PGPT0015245","PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;TRIGGERED_IMMUNITY;PAMP|EFFECTOR_TRIGGERED_IMMUNITY|PTI;PTI-BACTERIAL_EF-TU","PF00009;PF03144;PF03143"
