Bacillus atrophaeus ABi03	Pseudomonas sp. RU47	Trichoderma harzianum	Treatment	Year
0	0.000135081	0	control	2020
0	1.06136E-05	1.06136E-05	control	2020
6.92613E-05	0	0	control	2020
0	0	0	control	2020
0.059469945	0.005055333	0.000527243	BMc	2020
0.035127839	0.003662533	0.000234546	BMc	2020
0.030556833	0.001955637	0.000310269	BMc	2020
0.019797392	0.002250325	0.000118438	BMc	2020
0	0	1.09032E-05	control	2021
0	0	0	control	2021
0	0	0	control	2021
0	1.10076E-05	0	control	2021
0.051016512	0.019809723	0.003322267	BMc	2021
0.049415889	0.014340341	0.003248365	BMc	2021
0.03727883	0.023967185	0.001940201	BMc	2021
0.024837839	0.009891272	0.001261082	BMc	2021
0	0	0	control	2022
0	2.53765E-05	0	control	2022
0	0	0	control	2022
0	0	0	control	2022
0.006389071	0.000425279	0.001315397	BMc	2022
0.019626403	0.00515848	0.00126947	BMc	2022
0.017808048	0.003712072	0.001890682	BMc	2022
0.012939805	0.000661158	0.001615114	BMc	2022
