S4SemiBin2.fa.gzround4pilon	S4SemiBin19.fa.gzround4pilon	S4SemiBin18.fa.gzround4pilon	S4SemiBin1.fa.gzround4pilon	S4SemiBin0.fa.gzround4pilon	S3SemiBin0.fa.gzround4pilon	S1SemiBin26.fa.gzround4pilon	S1SemiBin16.fa.gzround4pilon	S1SemiBin12.fa.gzround4pilon	MS5ResultsCTExtC2022bin.016	MS5ResultsCTExtC2020bin.002	MS5Resultsall2bin.027	MS5Resultsall2bin.012	Genome 15	Year	Treatment	Replicate
456940	113860	114391	269469	84371	1742055	44944	68491	92009	84251	154027	619777	450526	217905	2020	control	1
414858	108676	92921	241523	76111	1573837	41721	62185	82927	74130	141269	560130	378669	194724	2020	control	2
313511	69659	70401	185473	58442	1208786	29731	46068	56556	57517	96311	426543	290818	148102	2020	control	3
334804	74673	75370	196002	62750	1262359	33371	51955	59821	61044	105815	451351	324085	160226	2020	control	4
557160	88962	73513	325809	141196	2356454	37132	64054	69920	103972	118632	819827	562381	259047	2020	BMc	1
466772	77068	70117	278710	104449	2003563	35065	56944	60466	88038	105505	693055	471078	216430	2020	BMc	2
444418	63914	65560	265905	96447	1921129	31949	53628	53306	84043	92824	667945	455414	205355	2020	BMc	3
467029	74381	65422	274368	91569	2010610	32501	55461	59648	86013	101282	695084	490847	216582	2020	BMc	4
398220	82651	67570	231285	75251	1561621	34853	54096	61590	76437	110365	552203	434409	188404	2021	control	1
486443	108751	100249	278563	90818	1864836	46199	69974	83666	91863	150208	663794	513365	232239	2021	control	2
399322	69846	65923	238127	75144	1619690	33356	52834	57845	77176	101079	570841	428642	188150	2021	control	3
411478	100742	90513	239630	75938	1596328	42700	62591	78725	76069	139074	573445	421643	196303	2021	control	4
408923	61584	61055	243348	94308	1723854	28626	45759	51090	78205	88184	602447	431956	191518	2021	control	1
413935	77643	67891	240564	93458	1655025	33603	52759	61141	76999	106243	586489	415387	195377	2021	BMc	2
439093	89963	86342	259476	99658	1762217	40266	61936	74252	84356	127642	625277	443663	209015	2021	BMc	3
393759	67537	60133	230070	81599	1607217	30271	50731	53530	74022	93293	564169	403678	185594	2021	BMc	4
319075	83829	84131	182008	63626	1220407	34167	47482	61937	60659	109560	422455	287512	151372	2022	control	1
338648	87446	82882	192861	74360	2844975	34600	46966	60779	165532	110073	481962	321792	160612	2022	control	2
420432	102775	71989	239640	85101	1808140	39175	61177	62847	89858	122219	618893	444566	201500	2022	control	3
383947	81262	65351	224770	76490	1706629	33328	48161	57587	84039	104178	571254	397189	179384	2022	control	4
433422	73165	65750	254832	79625	1879397	32807	49721	58615	85022	99659	640197	430347	202825	2022	BMc	1
406178	85766	79543	236924	88344	1758135	34524	51983	59567	83996	107032	595708	409301	193151	2022	BMc	2
410816	79345	79869	242418	88402	1804738	36679	52926	61696	87069	109451	612298	417588	193750	2022	BMc	3
449188	70167	81422	266724	86646	1951175	37244	52382	63285	88032	109822	670141	447721	208223	2022	BMc	4
