Samples	Beneficials	Year	BLOCK
counts_25_CT_Ext_C1_2020	Control	2020	1
counts_26_CT_Ext_C2_2020	Control	2020	2
counts_27_CT_Ext_C3_2020	Control	2020	3
counts_28_CT_Ext_C4_2020	Control	2020	4
counts_41_CT_Ext_I1_2020	BMc	2020	1
counts_42_CT_Ext_I2_2020	BMc	2020	2
counts_43_CT_Ext_I3_2020	BMc	2020	3
counts_44_CT_Ext_I4_2020	BMc	2020	4
counts_M09_CT_Ext_C1_2021	Control	2021	1
counts_M10_CT_Ext_C2_2021	Control	2021	2
counts_M11_CT_Ext_C3_2021	Control	2021	3
counts_M12_CT_Ext_C4_2021	Control	2021	4
counts_M25_CT_Ext_I1_2021	BMc	2021	1
counts_M26_CT_Ext_I2_2021	BMc	2021	2
counts_M27_CT_Ext_I3_2021	BMc	2021	3
counts_M28_CT_Ext_I4_2021	BMc	2021	4
counts_M33_CT_Ext_C1_2022	Control	2022	1
counts_M34_CT_Ext_C2_2022	Control	2022	2
counts_M35_CT_Ext_C3_2022	Control	2022	3
counts_M36_CT_Ext_C4_2022	Control	2022	4
counts_M37_CT_Ext_I1_2022	BMc	2022	1
counts_M38_CT_Ext_I2_2022	BMc	2022	2
counts_M39_CT_Ext_I3_2022	BMc	2022	3
counts_M40_CT_Ext_I4_2022	BMc	2022	4
