"","apply(df, 1, function(x) Species.richness(x))"
"FS.CT.Ext.C1.2020.trimmed",2082.88
"FS.CT.Ext.C2.2020.trimmed",2005.151
"FS.CT.Ext.C3.2020.trimmed",1828.625
"FS.CT.Ext.C4.2020.trimmed",1185.858
"FS.CT.Ext.I1.2020.trimmed",1864.999
"FS.CT.Ext.I2.2020.trimmed",1864.831
"FS.CT.Ext.I3.2020.trimmed",1953.894
"FS.CT.Ext.I4.2020.trimmed",1697.276
"FSCTExt.T0.1.2020.trimmed",1778.998
"FSCTExt.T0.2.2020.trimmed",1672.845
"FSCTExt.T0.3.2020.trimmed",1464.243
"FSCTExt.T0.4.2020.trimmed",1562.022
"RH.CT.Ext.C1.2020.trimmed",1408.78
"RH.CT.Ext.C2.2020.trimmed",1389.962
"RH.CT.Ext.C3.2020.trimmed",1348.974
"RH.CT.Ext.C4.2020.trimmed",1481.139
"RH.CT.Ext.I1.2020.trimmed",1463.107
"RH.CT.Ext.I2.2020.trimmed",1517.853
"RH.CT.Ext.I3.2020.trimmed",1496.678
"RH.CT.Ext.I4.2020.trimmed",1578.088
"CT.Ext.T0.1.2021.trimmed",1065.103
"CT.Ext.T0.2.2021.trimmed",1314.397
"CT.Ext.T0.3.2021.trimmed",1243.566
"CT.Ext.T0.4.2021.trimmed",1438.172
"FS.CT.Ext.C1.2021.trimmed",2101.245
"FS.CT.Ext.C2.2021.trimmed",2024.073
"FS.CT.Ext.C3.2021.trimmed",1848.267
"FS.CT.Ext.C4.2021.trimmed",1199
"FS.CT.Ext.I1.2021.trimmed",1881.761
"FS.CT.Ext.I2.2021.trimmed",1886.771
"FS.CT.Ext.I3.2021.trimmed",1973.607
"FS.CT.Ext.I4.2021.trimmed",1701.478
"RHCTExtC1.2021.trimmed",1605.096
"RHCTExtC2.2021.trimmed",1600.049
"RHCTExtC3.2021.trimmed",1483.206
"RHCTExtC4.2021.trimmed",1584.321
"RHCTExtI1.2021.trimmed",1530.104
"RHCTExtI2.2021.trimmed",1636.083
"RHCTExtI3.2021.trimmed",1617.889
"RHCTExtI4.2021.trimmed",1528.708
"FSCTExtC1FS1.2022.trimmed",1786.191
"FSCTExtC2FS2.2022.trimmed",1826.242
"FSCTExtC3FS3.2022.trimmed",1846.033
"FSCTExtC4FS4.2022.trimmed",1755.026
"FSCTExtI1FS1.2022.trimmed",1921.616
"FSCTExtI2FS2.2022.trimmed",1820.731
"FSCTExtI3FS3.2022.trimmed",1267.252
"FSCTExtI4FS4.2022.trimmed",1884.636
"RHCTExtC1RH1.2022.trimmed",2008.392
"RHCTExtC2RH2.2022.trimmed",1946.833
"RHCTExtC3RH3.2022.trimmed",2280.463
"RHCTExtC4RH4.2022.trimmed",2007.015
"RHCTExtI1RH1.2022.trimmed",2035.238
"RHCTExtI2RH2.2022.trimmed",1828.303
"RHCTExtI3RH3.2022.trimmed",1924.518
"RHCTExtI4RH4.2022.trimmed",2123.454
"T0CTExt1FS1.2022.trimmed",2043.1
"T0CTExt2FS2.2022.trimmed",2050.714
"T0CTExt3FS3.2022.trimmed",2025.363
"T0CTExt4FS4.2022.trimmed",2068.911
