"","diversity(df, index = ""shannon"")"
"FS.CT.Ext.C1.2020.trimmed",6.90924333750092
"FS.CT.Ext.C2.2020.trimmed",6.8971758627387
"FS.CT.Ext.C3.2020.trimmed",6.79255644853871
"FS.CT.Ext.C4.2020.trimmed",6.42005369915686
"FS.CT.Ext.I1.2020.trimmed",6.83735600932359
"FS.CT.Ext.I2.2020.trimmed",6.83664998052842
"FS.CT.Ext.I3.2020.trimmed",6.84838946837171
"FS.CT.Ext.I4.2020.trimmed",6.79634129304183
"FSCTExt.T0.1.2020.trimmed",6.85447560085572
"FSCTExt.T0.2.2020.trimmed",6.79317715493434
"FSCTExt.T0.3.2020.trimmed",6.66503714080383
"FSCTExt.T0.4.2020.trimmed",6.74082528538484
"RH.CT.Ext.C1.2020.trimmed",6.49724908509399
"RH.CT.Ext.C2.2020.trimmed",6.54430395105093
"RH.CT.Ext.C3.2020.trimmed",6.53728886472848
"RH.CT.Ext.C4.2020.trimmed",6.58060468156146
"RH.CT.Ext.I1.2020.trimmed",6.58117343870413
"RH.CT.Ext.I2.2020.trimmed",6.59884804315376
"RH.CT.Ext.I3.2020.trimmed",6.60246553176832
"RH.CT.Ext.I4.2020.trimmed",6.66278818846383
"CT.Ext.T0.1.2021.trimmed",6.3267512306674
"CT.Ext.T0.2.2021.trimmed",6.53808232386898
"CT.Ext.T0.3.2021.trimmed",6.48268579536677
"CT.Ext.T0.4.2021.trimmed",6.65329324808594
"FS.CT.Ext.C1.2021.trimmed",6.9145430592926
"FS.CT.Ext.C2.2021.trimmed",6.90617272017577
"FS.CT.Ext.C3.2021.trimmed",6.80182410559744
"FS.CT.Ext.C4.2021.trimmed",6.4292449580832
"FS.CT.Ext.I1.2021.trimmed",6.8454086970669
"FS.CT.Ext.I2.2021.trimmed",6.84797263497063
"FS.CT.Ext.I3.2021.trimmed",6.85775940390145
"FS.CT.Ext.I4.2021.trimmed",6.80026954939047
"RHCTExtC1.2021.trimmed",6.63340136437778
"RHCTExtC2.2021.trimmed",6.68069205244942
"RHCTExtC3.2021.trimmed",6.6114424529383
"RHCTExtC4.2021.trimmed",6.65405631559553
"RHCTExtI1.2021.trimmed",6.64061215777184
"RHCTExtI2.2021.trimmed",6.65744664101518
"RHCTExtI3.2021.trimmed",6.66882501457454
"RHCTExtI4.2021.trimmed",6.63064948291767
"FSCTExtC1FS1.2022.trimmed",5.99167904102177
"FSCTExtC2FS2.2022.trimmed",5.85846522372332
"FSCTExtC3FS3.2022.trimmed",5.49655391806665
"FSCTExtC4FS4.2022.trimmed",5.67917770501262
"FSCTExtI1FS1.2022.trimmed",6.30443355716679
"FSCTExtI2FS2.2022.trimmed",5.92302240605945
"FSCTExtI3FS3.2022.trimmed",4.571636821257
"FSCTExtI4FS4.2022.trimmed",6.1364877962224
"RHCTExtC1RH1.2022.trimmed",6.38348253722175
"RHCTExtC2RH2.2022.trimmed",6.29981427396919
"RHCTExtC3RH3.2022.trimmed",6.81995006141659
"RHCTExtC4RH4.2022.trimmed",6.53356550427255
"RHCTExtI1RH1.2022.trimmed",6.47439226109707
"RHCTExtI2RH2.2022.trimmed",6.65608818482625
"RHCTExtI3RH3.2022.trimmed",6.75801506310506
"RHCTExtI4RH4.2022.trimmed",6.41863808301441
"T0CTExt1FS1.2022.trimmed",6.99858412735847
"T0CTExt2FS2.2022.trimmed",6.23902121153857
"T0CTExt3FS3.2022.trimmed",6.04665698146605
"T0CTExt4FS4.2022.trimmed",6.30692270879944
