"","diversity(df, index = ""invsimpson"")"
"FS.CT.Ext.C1.2020.trimmed",477.187027026183
"FS.CT.Ext.C2.2020.trimmed",479.354965876615
"FS.CT.Ext.C3.2020.trimmed",439.257745616141
"FS.CT.Ext.C4.2020.trimmed",361.762008310403
"FS.CT.Ext.I1.2020.trimmed",465.933314177534
"FS.CT.Ext.I2.2020.trimmed",460.744013403813
"FS.CT.Ext.I3.2020.trimmed",449.283808293547
"FS.CT.Ext.I4.2020.trimmed",483.968381018512
"FSCTExt.T0.1.2020.trimmed",500.149154206397
"FSCTExt.T0.2.2020.trimmed",472.547126442187
"FSCTExt.T0.3.2020.trimmed",413.105339143848
"FSCTExt.T0.4.2020.trimmed",460.167678397662
"RH.CT.Ext.C1.2020.trimmed",273.387166681726
"RH.CT.Ext.C2.2020.trimmed",330.277805310337
"RH.CT.Ext.C3.2020.trimmed",333.313039780726
"RH.CT.Ext.C4.2020.trimmed",315.26339146659
"RH.CT.Ext.I1.2020.trimmed",316.427899648166
"RH.CT.Ext.I2.2020.trimmed",324.401822961585
"RH.CT.Ext.I3.2020.trimmed",353.364003335887
"RH.CT.Ext.I4.2020.trimmed",381.42580930028
"CT.Ext.T0.1.2021.trimmed",311.479165376565
"CT.Ext.T0.2.2021.trimmed",373.848475401125
"CT.Ext.T0.3.2021.trimmed",346.460245920286
"CT.Ext.T0.4.2021.trimmed",427.109603900537
"FS.CT.Ext.C1.2021.trimmed",477.331524471805
"FS.CT.Ext.C2.2021.trimmed",482.853320745329
"FS.CT.Ext.C3.2021.trimmed",441.408136388082
"FS.CT.Ext.C4.2021.trimmed",363.234084948145
"FS.CT.Ext.I1.2021.trimmed",469.348584319839
"FS.CT.Ext.I2.2021.trimmed",463.74324506656
"FS.CT.Ext.I3.2021.trimmed",451.687459201118
"FS.CT.Ext.I4.2021.trimmed",484.845217204448
"RHCTExtC1.2021.trimmed",351.745803904008
"RHCTExtC2.2021.trimmed",409.922830204313
"RHCTExtC3.2021.trimmed",378.914321541869
"RHCTExtC4.2021.trimmed",388.189258718862
"RHCTExtI1.2021.trimmed",378.172171215138
"RHCTExtI2.2021.trimmed",341.120861055585
"RHCTExtI3.2021.trimmed",393.746748863965
"RHCTExtI4.2021.trimmed",380.781542377205
"FSCTExtC1FS1.2022.trimmed",23.3974054620548
"FSCTExtC2FS2.2022.trimmed",18.7989402202778
"FSCTExtC3FS3.2022.trimmed",11.5285993683634
"FSCTExtC4FS4.2022.trimmed",15.1276115508776
"FSCTExtI1FS1.2022.trimmed",39.1777903027028
"FSCTExtI2FS2.2022.trimmed",21.0360234371735
"FSCTExtI3FS3.2022.trimmed",6.09785469174086
"FSCTExtI4FS4.2022.trimmed",28.5392050340048
"RHCTExtC1RH1.2022.trimmed",46.3505070456736
"RHCTExtC2RH2.2022.trimmed",72.4259898989661
"RHCTExtC3RH3.2022.trimmed",111.741027397102
"RHCTExtC4RH4.2022.trimmed",82.7676878099089
"RHCTExtI1RH1.2022.trimmed",54.5619076026707
"RHCTExtI2RH2.2022.trimmed",325.893627831375
"RHCTExtI3RH3.2022.trimmed",385.047499559547
"RHCTExtI4RH4.2022.trimmed",48.1329460599027
"T0CTExt1FS1.2022.trimmed",569.426803107597
"T0CTExt2FS2.2022.trimmed",27.5629549176409
"T0CTExt3FS3.2022.trimmed",20.8380282288005
"T0CTExt4FS4.2022.trimmed",31.575855782304
