"","In","Out","Denoised FW","Denoised RE","Merged","Sizeout","Chimera Filtered","Final_Clean_Of_Rare_Seq_and_Plastids","Archea_out"
"FS.CT.Ext.C1.2020.trimmed_cutadapt_1.fq",116003,116003,108848,108021,87234,87220,81461,63510,62259
"FS.CT.Ext.C2.2020.trimmed_cutadapt_1.fq",140876,111386,103319,103256,84606,84513,79621,63001,60223
"FS.CT.Ext.C3.2020.trimmed_cutadapt_1.fq",141992,114077,107755,107556,90896,90857,85280,64509,58860
"FS.CT.Ext.C4.2020.trimmed_cutadapt_1.fq",103736,103736,92704,92903,62857,62832,40107,31856,19443
"FS.CT.Ext.I1.2020.trimmed_cutadapt_1.fq",104907,104907,99075,98891,83554,83543,79124,61175,58167
"FS.CT.Ext.I2.2020.trimmed_cutadapt_1.fq",138746,103086,95638,94989,77033,76941,72622,54919,54345
"FS.CT.Ext.I3.2020.trimmed_cutadapt_1.fq",133446,111837,104846,103897,84754,84719,79668,61549,59303
"FS.CT.Ext.I4.2020.trimmed_cutadapt_1.fq",130887,97579,89491,88574,67103,67093,62324,46625,46257
"FSCTExt.T0.1.2020.trimmed_cutadapt_1.fq",110093,110093,102119,101304,79674,79649,74181,57944,56028
"FSCTExt.T0.2.2020.trimmed_cutadapt_1.fq",107008,107008,99085,97818,75978,75963,70539,54315,52058
"FSCTExt.T0.3.2020.trimmed_cutadapt_1.fq",129552,100304,92331,91002,68674,68660,63049,45672,42970
"FSCTExt.T0.4.2020.trimmed_cutadapt_1.fq",104338,104338,97041,96513,77261,77234,71936,52253,47454
"RH.CT.Ext.C1.2020.trimmed_cutadapt_1.fq",142528,105851,98299,97770,78330,78247,72495,56483,53755
"RH.CT.Ext.C2.2020.trimmed_cutadapt_1.fq",100629,100629,93593,92712,74796,74720,69206,56738,52577
"RH.CT.Ext.C3.2020.trimmed_cutadapt_1.fq",116686,86322,81304,80849,67314,67294,63190,51357,48819
"RH.CT.Ext.C4.2020.trimmed_cutadapt_1.fq",139110,103368,96706,96255,81218,81156,76947,57165,55769
"RH.CT.Ext.I1.2020.trimmed_cutadapt_1.fq",140011,100394,93528,92440,73210,73194,68047,55086,54610
"RH.CT.Ext.I2.2020.trimmed_cutadapt_1.fq",133900,99784,93227,92493,74511,74476,69578,57637,55220
"RH.CT.Ext.I3.2020.trimmed_cutadapt_1.fq",98204,98204,92244,91249,73989,73979,69484,55608,54883
"RH.CT.Ext.I4.2020.trimmed_cutadapt_1.fq",141270,105404,98121,97331,78082,78013,72835,58491,57456
"CT.Ext.T0.1.2021.trimmed_cutadapt_1.fq",104331,90071,84407,84249,70745,70728,66201,43250,37423
