"reference","tax","description","KO","Subject","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"k87_25_4","COG0735@1|root,COG0735@2|Bacteria,1RDWJ@1224|Proteobacteria,1S4H7@1236|Gammaproteobacteria,1X6F1@135614|Xanthomonadales","Belongs to the Fur family","ko:K03711","PGPT0003880_4972",100,133,0,0,1,399,1,133,2.2e-68,263.1,20,30,17,31,22,12,4,14,13,34,27,28,22,36,22,26,17,178,30,35,22,38,50,40
"k87_25_6","COG2914@1|root,COG2914@2|Bacteria,1MZCH@1224|Proteobacteria,1SCHG@1236|Gammaproteobacteria,1X84S@135614|Xanthomonadales","Belongs to the UPF0125 (RnfH) family","ko:K09801","PGPT0027445_1319",95.5,88,4,0,1,264,1,88,7.2e-39,164.5,6,14,0,6,24,16,14,5,14,8,12,14,10,12,10,12,2,87,10,11,18,16,14,14
"k87_25_8","COG0691@1|root,COG0691@2|Bacteria,1RDFP@1224|Proteobacteria,1S3PT@1236|Gammaproteobacteria,1X5ZV@135614|Xanthomonadales","Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene","ko:K03664","PGPT0014355_192",100,170,0,0,1,510,1,170,5e-89,332,20,16,22,8,38,22,32,16,20,35,17,10,14,16,18,16,17,199,15,20,24,33,38,16
"k87_46_1","COG0021@1|root,COG0021@2|Bacteria,1MUEY@1224|Proteobacteria,1RMWP@1236|Gammaproteobacteria,1X498@135614|Xanthomonadales","Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate","ko:K00615","PGPT0011200_3181",99.4,497,3,0,1,1491,170,666,4.9e-294,1014.6,82,75,71,68,93,92,84,113,71,100,64,70,62,83,94,70,89,490,105,99,128,104,81,123
"k87_176_1","COG0655@1|root,COG0655@2|Bacteria,1MW7N@1224|Proteobacteria,1S23B@1236|Gammaproteobacteria,1X4PZ@135614|Xanthomonadales","Belongs to the WrbA family","ko:K03809","PGPT0009460_2786",100,99,0,0,1,297,99,197,1.9e-48,196.4,7,10,11,6,15,3,12,4,6,6,10,18,2,4,11,16,14,85,14,16,22,9,14,6
"k87_176_3","COG0252@1|root,COG0252@2|Bacteria,1RHAW@1224|Proteobacteria,1S5WS@1236|Gammaproteobacteria,1X5DN@135614|Xanthomonadales","asparaginase","ko:K01424","PGPT0020180_4603",100,161,0,0,1,483,1,161,9.9e-87,324.3,34,22,24,25,34,42,23,44,24,35,22,29,30,31,31,28,24,182,36,44,31,36,44,45
"k87_252_2","COG1344@1|root,COG1344@2|Bacteria,1MXC4@1224|Proteobacteria,2TRIP@28211|Alphaproteobacteria,3JT0V@41294|Bradyrhizobiaceae","Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella","-","PGPT0015190_138",94.2,139,8,0,1,417,1,139,7e-60,235.7,30,57,23,51,48,33,36,40,52,44,43,31,30,44,43,37,37,44,60,32,64,60,68,47
"k87_280_2","COG0299@1|root,COG0299@2|Bacteria,1MWN1@1224|Proteobacteria,1RMHS@1236|Gammaproteobacteria,1X5GJ@135614|Xanthomonadales","Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate","ko:K11175","PGPT0008095_375",96,227,9,0,1,681,1,227,2e-117,426.8,26,26,14,22,24,36,26,36,30,45,26,29,30,38,22,38,27,237,39,30,28,42,34,34
"k87_280_5","COG0766@1|root,COG0766@2|Bacteria,1MUH7@1224|Proteobacteria,1RN91@1236|Gammaproteobacteria,1X48Z@135614|Xanthomonadales","Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine","ko:K00790","PGPT0024090_5394",99,417,4,0,1,1251,1,417,1.2e-229,800.4,96,114,71,63,104,142,117,96,108,119,111,81,111,98,97,107,136,522,101,110,114,137,106,121
"k87_280_7","COG0517@1|root,COG0794@1|root,COG0517@2|Bacteria,COG0794@2|Bacteria,1MUXD@1224|Proteobacteria,1RMT9@1236|Gammaproteobacteria,1X3K3@135614|Xanthomonadales","Arabinose 5-phosphate isomerase","ko:K06041","PGPT0023075_326",91.2,341,29,1,1,1023,1,340,2.5e-164,583.2,65,63,35,35,97,90,80,66,51,101,64,56,68,52,64,38,50,313,69,79,85,71,67,70
