reference	Subject	percent	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
k87_25_4	PGPT0003880_4972	100	133	0	0	1	399	1	133	2.20E-68	263.1
k87_25_6	PGPT0027445_1319	95.5	88	4	0	1	264	1	88	7.20E-39	164.5
k87_25_8	PGPT0014355_192	100	170	0	0	1	510	1	170	5.00E-89	332
k87_46_1	PGPT0011200_3181	99.4	497	3	0	1	1491	170	666	4.90E-294	1014.6
k87_176_1	PGPT0009460_2786	100	99	0	0	1	297	99	197	1.90E-48	196.4
k87_176_3	PGPT0020180_4603	100	161	0	0	1	483	1	161	9.90E-87	324.3
k87_252_2	PGPT0015190_138	94.2	139	8	0	1	417	1	139	7.00E-60	235.7
k87_280_2	PGPT0008095_375	96	227	9	0	1	681	1	227	2.00E-117	426.8
k87_280_5	PGPT0024090_5394	99	417	4	0	1	1251	1	417	1.20E-229	800.4
k87_280_7	PGPT0023075_326	91.2	341	29	1	1	1023	1	340	2.50E-164	583.2
k87_280_8	PGPT0023070_903	99.5	182	1	0	127	672	1	182	2.40E-99	366.7
k87_280_9	PGPT0023299_1569	95.7	188	8	0	1	564	1	188	5.00E-98	362.1
k87_280_10	PGPT0023301_1578	94.9	175	9	0	1	525	1	175	6.30E-87	325.1
k87_280_11	PGPT0023300_2732	100	239	0	0	1	717	1	239	7.40E-131	471.5
k87_280_12	PGPT0000795_2319	99.1	469	4	0	4	1410	1	469	6.50E-256	887.9
k87_280_14	PGPT0000135_1362	98.1	154	3	0	1	462	1	154	4.70E-78	295.4
k87_281_1	PGPT0012750_114	100	198	0	0	1	594	32	229	6.60E-109	398.3
k87_646_4	PGPT0009550_383	96	420	12	2	91	1347	2	417	3.20E-220	769.2
k87_646_5	PGPT0009540_110	96.7	399	13	0	1	1197	1	399	1.80E-222	776.5
k87_756_1	PGPT0001150_249	94.3	175	10	0	1	525	1	175	3.40E-91	339.3
k87_756_2	PGPT0001150_249	99.2	265	2	0	1	795	212	476	1.40E-154	550.4
k87_762_1	PGPT0030840_923	100	88	0	0	1	264	1	88	5.10E-45	184.9
k87_762_2	PGPT0030835_2015	99.5	183	1	0	70	618	1	183	1.30E-104	384
k87_762_4	PGPT0007215_1311	98.3	482	8	0	1	1446	1	482	9.00E-269	930.6
k87_855_1	PGPT0013355_287	90.4	542	52	0	46	1671	5	546	6.40E-282	974.5
