"Subject","Factor","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reference","tax","description","KO","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_5644525_1","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,4B99K@82115|Rhizobiaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",91,290,26,0,1,870,115,404,6.9e-155,551.6,131,142,104,98,155,151,123,131,137,109,115,140,98,111,114,111,125,131,137,173,123,121,146,144
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_1181071_1","COG0538@1|root,COG0538@2|Bacteria,1MW3J@1224|Proteobacteria,2VHVD@28216|Betaproteobacteria,4ABW5@80864|Comamonadaceae","TIGRFAM isocitrate dehydrogenase, NADP-dependent","ko:K00031",96,224,9,0,4,675,4,227,2.7e-122,443,67,40,37,60,76,58,52,47,71,70,79,50,54,58,68,63,71,41,56,55,49,60,78,58
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_4273850_7","COG2838@1|root,COG2838@2|Bacteria","Isocitrate dehydrogenase","ko:K00031",94.2,502,29,0,7,1512,4,505,2.7e-276,955.7,54,48,56,52,80,61,58,53,49,50,67,46,38,51,66,47,27,29,47,48,44,60,63,68
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_5078541_1","COG2838@1|root,COG2838@2|Bacteria,2GJ1C@201174|Actinobacteria","Isocitrate dehydrogenase","ko:K00031",91.5,482,41,0,1,1446,258,739,6.1e-257,891.3,256,257,207,196,299,298,243,270,223,217,227,210,223,226,220,168,230,224,295,279,234,260,240,314
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_2143459_2","COG0538@1|root,COG0538@2|Bacteria,1MW3J@1224|Proteobacteria,1RNMD@1236|Gammaproteobacteria,1X3IR@135614|Xanthomonadales","Isocitrate/isopropylmalate dehydrogenase","ko:K00031",90.2,123,12,0,1,369,310,432,8.8e-59,231.1,52,58,25,29,49,41,39,42,44,60,48,41,27,38,44,36,35,25,31,13,21,30,44,68
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_5579539_1","COG2838@1|root,COG2838@2|Bacteria","Isocitrate dehydrogenase","ko:K00031",92.4,144,11,0,1,432,600,743,7.5e-70,268.1,13,10,19,14,19,20,28,18,17,24,25,13,10,30,20,13,15,22,22,16,14,18,10,14
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_2972399_1","COG0538@1|root,COG0538@2|Bacteria,1MW3J@1224|Proteobacteria,1RNMD@1236|Gammaproteobacteria,1X3IR@135614|Xanthomonadales","Isocitrate/isopropylmalate dehydrogenase","ko:K00031",99.8,442,1,0,1,1326,1,442,2.4e-260,902.5,172,137,98,99,148,143,129,158,162,164,189,136,118,168,159,125,145,549,161,135,147,155,162,166
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_1656634_4","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,3N9KE@45404|Beijerinckiaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",93.3,75,5,0,1,225,330,404,6e-34,147.9,34,20,12,7,25,37,36,21,18,22,19,29,19,22,22,26,24,8,24,22,35,33,33,39
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_1347726_1","COG0538@1|root,COG0538@2|Bacteria,1MW3J@1224|Proteobacteria,2VHVD@28216|Betaproteobacteria,1KJAK@119065|unclassified Burkholderiales","Isocitrate dehydrogenase","ko:K00031",90.2,164,16,0,1,492,1,164,9.4e-85,317.8,52,33,36,43,60,33,34,67,67,56,78,54,42,32,43,31,47,43,53,38,41,60,48,46
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_1135087_1","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,4B99K@82115|Rhizobiaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",92.5,120,9,0,1,360,284,403,3.6e-57,225.7,49,46,23,41,72,36,39,44,46,52,49,40,38,36,34,37,38,18,40,29,45,40,44,46
